Name,Code,Row #,Country Code,Landmark Category,Location Label,Full Address,Map Centroid Longitude,Map Centroid Latitude,Map Accuracy Catagory,Map Coordinate System Category,Is Boundary Map On File?,Is Subdivision Parent Same as Enclosing Subdivision?,Subdivision Parent Code,Municipality ,Parent of Municipality,Parent Subdivision Category,Capacity,Capacity Metric Category,Year Opened,Ventilation Category,Landmark Notes ,Photo File ,Is Emergency Contact Recorded,
Red Bull Arena,,,USA,Stadium,"Harrison, New Jersey",,,,,,,,,Harrison,New Jersey,State,"25,000",Spectator Seats,2010,Open Air,Grass Playing Surface,Red Bull Arena Harrison behind goal.jpg,,
RFK Stadium,,,USA,Stadium,"Washington, D.C.",,,,,,,,,Washington,D.C.,State,"45,596",Spectator Seats,1961,Open Air,Grass Playing Surface,Rfkstadium.png,,
Rio Tinto Stadium,,,USA,Stadium,"Sandy, Utah",,,,,,,,,Sandy,Utah,State,"20,213",Spectator Seats,2008,Open Air,Grass Playing Surface,Rio Tinto Stadium,,
Saputo Stadium,,,USA,Stadium,"Montreal, Quebec",,,,,,,,,Montreal,Quebec,State,"20,521",Spectator Seats,2008,Open Air,Grass Playing Surface,Stade Saputo.27.06.12.jpg,,
Sporting Park,,,USA,Stadium,"Kansas City, Kansas",,,,,,,,,Kansas City,Kansas,State,"18,467",Spectator Seats,2011,Open Air,Grass Playing Surface,Sporting KC vs Houston Dynamo - 26 May 2013.JPG,,
StubHub Center,,,USA,Stadium,"Carson, California",,,,,,,,,Carson,California,State,"27,000",Spectator Seats,2003,Open Air,Grass Playing Surface,LA Galaxy vs Houston Dynamo- Western Conference Finals panorama.jpg,,
Toyota Park,,,USA,Stadium,"Bridgeview, Illinois",,,,,,,,,Bridgeview,Illinois,State,"20,000",Spectator Seats,2006,Open Air,Grass Playing Surface,"Toyota Park, 9 March 2013.jpg",,
Toyota Stadium,,,USA,Stadium,"Frisco, Texas",,,,,,,,,Frisco,Texas,State,"20,500",Spectator Seats,2005,Open Air,Grass Playing Surface,Pizza Hut Park.jpg,,
Yankee Stadium,,,USA,Stadium,"Bronx, New York City, New York",,,,,,,,,Bronx,New York,State,"54,251",Spectator Seats,2009,Open Air,Grass Playing Surface,"Soccer at Yankee Stadium, August 2012.jpg",,
Camp Nou,,,ESP,Stadium,,,,,,,,,,Barcelona,Catalonia,Autonomous Community,"99,354",Spectator Seats,1957,Open Air,,Barcelona_296.JPG,,
A Malata,,,ESP,Stadium,,,,,,,,,,Ferrol,Galicia,Autonomous Community,"12,042",Spectator Seats,1993,Open Air,,Racing-Xerez 2005 012.jpg,,
Alfonso Murube,,,ESP,Stadium,,,,,,,,,,Ceuta,Ceuta,Autonomous Community,"6,500",Spectator Seats,1933,Open Air,,,,
Alfredo di Stéfano,,,ESP,Stadium,,,,,,,,,,Madrid,Madrid,Autonomous Community,"6,000",Spectator Seats,2006,Open Air,,Estadio Alfredo Di Stéfano.JPG,,
Álvarez Claro,,,ESP,Stadium,,,,,,,,,,Melilla,Melilla,Autonomous Community,"12,000",Spectator Seats,1933,Open Air,,Estadio melilla.JPG,,
Anduva,,,ESP,Stadium,,,,,,,,,,Miranda de Ebro,Castile and León,Autonomous Community,"6,000",Spectator Seats,1950,Open Air,,Estadio de Anduva - Play-off 2009.JPG,,
Anoeta,,,ESP,Stadium,,,,,,,,,,San Sebastián,Basque Country,Autonomous Community,"32,076",Spectator Seats,1993,Open Air,,Tribuna oeste del Estadio Anoeta.JPG,,
Anxo Carro,,,ESP,Stadium,,,,,,,,,,Lugo,Galicia,Autonomous Community,"7,840",Spectator Seats,2001,Open Air,,Estadio Anxo Carro.jpg,,
Artés Carrasco,,,ESP,Stadium,,,,,,,,,,Lorca,Murcia,Autonomous Community,"8,120",Spectator Seats,2003,Open Air,,Lorca - Villarreal B 1.JPG,,
